id,name,email,phone,age,department,hire_date,salary
1,Alice Johnson,mike@email.com,555.123.4567,51,HR,2052-02-05,52815.79576634013
2,Mike Brown,john@email.com,555.123.4567,32,Sales,2024-04-05,8266.517110771458
3,Bob Wilson,alice@email.com,5551234567,37,Finance,2022-11-06,68067.16057539303
4,Mike Brown,alice@email.com,555.123.4567,44,HR,2020-03-19,47261.23118174121
5,Mike Brown,mike@email.com,555123,26,HR,2020-01-27,51341.468816832516
6,Jane Smith,bob@email.m,555.123.4567,48,Finance,2024-08-29,96686.50868170217
7,Bob Wilson,mike@email.m,5551234567,52,Finance,2023-09-24,77792.5240037762
8,Bob Wilson,jane@email.com,+1 555 123 4567,34,Sales,2022-01-16,29929.35873002452
9,Bob Wilson,mike@email.com,+1 555 123 4567,29,Marketing,2021-04-20,61037.456524615794
10,Mike Brown,jane@email.com,555.123.4567,51,Sales,2020-04-20,27064.395237489844
11,Alice Johnson,john@email.com,(555) 123-4567,42,HR,2024-10-15,59591.86522055622
12,Bob Wilson,alice@email.com,+1 555 123 4567,35,Sales,2021-01-05,18618.212800974394
13,Mike Brown,alice@email.com,+1-555-123-4567,49,Sales,2021-01-03,
14,Jane Smith,bob@email.com,+1-555-123-4567,48,Finance,2024-09-29,71204.92483506537
15,Alice Johnson,mike@email.com,5551234567,31,Marketing,2024-02-11,70277.96692240016
16,Jane Smith,john@email.com,(555) 123-4567,37,Marketing,2021-12-09,39787.02645314386
17,Alice Johnson,jane@email.com,5551234567,40,Sales,2020-01-13,488.62059980148115
18,Mike Brown,bob@email.com,555.123.4567,35,Finance,2021-09-16,88591.9944384232
19,John Doe,john@email.com,+1 555 123 4567,21,Finance,2021-09-01,55460.68321046261
20,Alice Johnson,john@email.com,(555) 123-4567,25,HR,2024-07-31,46088.481808864795
21,Jane Smith,jane@email.com,555123,21,IT,2021-07-21,179033.7890597787
22,Mike Brown,jane@email.com,5551234567,39,HR,2023-02-01,56911.2939508073
23,Alice Johnson,alice@email.coom,+1-555-123-4567,23,HR,2020-08-19,69159.24781159897
24,John Doe,mike@email.com,55512,36,HR,2020-06-20,50603.10793045771
25,John Doe,bob@email.com,5551234567,53,IT,2024-04-12,164172.64590692904
26,Bob Wilson,mike@email.com,+1-555-123-4567,49,Finance,2021-04-13,80152.16894246117
27,Bob Wilson,bob@email.com,(555) 123-4567,16,Finance,2023-08-08,66127.39443898897
28,Jane Smith,john@email.com,5551234567,22,Marketing,2024-06-15,63081.4327348542
29,Alice Johnson,jane@email.c,+1-555-123-4567,120,Marketing,2023-05-13,53655.25760496037
30,Alice Johnson,jane@email.com,555.123.4567,23,Sales,2021-07-01,34077.06970438807
31,Bob Wilson,john@email.com,+1 555 123 4567,18,Sales,2020-05-08,28861.37842825132
32,Alice Johnson,john@email.com,(555) 123-4567,34,Sales,2023-04-09,6074.254556347145
33,Alice Johnson,bob@email.coom,5551234,42,Marketing,2022-06-23,59014.66275990783
34,John Doe,john@email.com,+1-555-123-4567,44,Marketing,2021-05-11,68515.16732315457
35,Bob Wilson,bob@email.com,5551234567,30,HR,2020-12-28,52168.92030274242
36,Mike Brown,mike@email.comm,+1 555 123 4567,32,Finance,2052-08-09,64257.430603576126
37,Bob Wilson,jane@email.com,5551234567,38,Marketing,2022-09-03,65594.96725857127
38,Mike Brown,jane@email.com,5551234,33,IT,2020-07-13,170713.1195471812
39,John Doe,jane@email.c,+1-555-123-4567,43,HR,2021-06-27,54800.1767034386
40,Jane Smith,mike@email.com,+1 555 123 4567,39,IT,2024-07-12,181846.56003408693
41,Alice Johnson,mike@email.com,(555) 123-4567,31,IT,2021-01-14,167500.62053277332
42,John Doe,alice@email.com,+1-555-123-4567,-10,Finance,2022-09-21,61387.166870774614
43,Alice Johnson,bob@email.com,+1 555 123 4567,49,IT,2052-05-30,
44,Jane Smith,bob@email.com,+1 555 123 4567,28,IT,2023-08-30,177561.80661225578
45,Jane Smith,alice@email.com,5551234567,38,IT,2023-12-30,181109.3919474052
46,John Doe,jane@email.com,555.123.4567,15,IT,2020-07-16,164651.3026223195
47,Jane Smith,bob@email.com,555.123.4567,34,HR,2023-09-30,53059.028134893866
48,Mike Brown,bob@email.com,(555) 123-4567,200,HR,2020-10-10,50744.44826012466
49,Jane Smith,jane@email.com,5551234567,36,Finance,2020-08-18,75528.49369820827
50,Alice Johnson,john@email.com,555.123.4567,200,Finance,2024-09-24,57634.14925033885
51,Alice Johnson,john@email.com,155512,28,IT,2021-11-10,169772.73291230833
52,Alice Johnson,alice@email.com,(555) 123-4567,43,Sales,2021-04-08,41383.406146324414
53,Alice Johnson,mike@email.com,5551234567,40,IT,2052-02-14,166702.1617948138
54,Mike Brown,bob@email.com,+1-555-123-4567,28,IT,2024-06-11,161980.48159445354
55,Bob Wilson,bob@email.com,555.123.4567,43,Finance,2022-09-01,73524.84080243323
56,John Doe,alice@email.com,555.123.4567,33,Marketing,2020-04-24,69472.28549407002
57,Alice Johnson,alice@email.com,555.123.4567,43,Finance,2024-07-31,97266.58554212184
58,Jane Smith,bob@email.com,555.123.4567,54,HR,2020-03-16,54261.389258356794
